# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-08-14
#
# GRDC-No.:              6246185
# River:                 TEISCHNITZBACH
# Station:               SPOTTLING-TAURER
# Country:               --
# Latitude (DD):       47.0261
# Longitude (DD):      12.6344
# Catchment area (km²):      
# Altitude (m ASL):        1491.09
# Next downstream station:      -
# Remarks:               http://ehyd.gv.at/eHYD/MessstellenExtraData/owf?id=212126&file=4. AdaptAlp-ID: AU125
# Owner of original data: Austria - Federal Ministry of Agriculture, Regions and Tourism (BMLRT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1951 - 2018
# No. of years:          68
# Last update:           2022-08-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 816
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1983-05-01;--:--;   -999.000;      0.533; 100
1983-06-01;--:--;   -999.000;      1.365; 100
1983-07-01;--:--;   -999.000;      1.968; 100
1983-08-01;--:--;   -999.000;      0.935; 100
1983-09-01;--:--;   -999.000;      0.584; 100
1983-10-01;--:--;   -999.000;      0.357; 100
1983-11-01;--:--;   -999.000;      0.164; 100
1983-12-01;--:--;   -999.000;      0.101; 100
1984-01-01;--:--;   -999.000;      0.078; 100
1984-02-01;--:--;   -999.000;      0.059; 100
1984-03-01;--:--;   -999.000;      0.048; 100
1984-04-01;--:--;   -999.000;      0.086; 100
1984-05-01;--:--;   -999.000;      0.249; 100
1984-06-01;--:--;   -999.000;      0.934; 100
1984-07-01;--:--;   -999.000;      1.232; 100
1984-08-01;--:--;   -999.000;      0.935; 100
1984-09-01;--:--;   -999.000;      0.489; 100
1984-10-01;--:--;   -999.000;      0.365; 100
1984-11-01;--:--;   -999.000;      0.177; 100
1984-12-01;--:--;   -999.000;      0.102; 100
1985-01-01;--:--;   -999.000;      0.088; 100
1985-02-01;--:--;   -999.000;      0.077; 100
1985-03-01;--:--;   -999.000;      0.068; 100
1985-04-01;--:--;   -999.000;      0.095; 100
1985-05-01;--:--;   -999.000;      0.556; 100
1985-06-01;--:--;   -999.000;      1.095; 100
1985-07-01;--:--;   -999.000;      1.537; 100
1985-08-01;--:--;   -999.000;      1.258; 100
1985-09-01;--:--;   -999.000;      0.697; 100
1985-10-01;--:--;   -999.000;      0.332; 100
1985-11-01;--:--;   -999.000;      0.121; 100
1985-12-01;--:--;   -999.000;      0.094; 100
1986-01-01;--:--;   -999.000;      0.080; 100
1986-02-01;--:--;   -999.000;      0.067; 100
1986-03-01;--:--;   -999.000;      0.064; 100
1986-04-01;--:--;   -999.000;      0.097; 100
1986-05-01;--:--;   -999.000;      1.072; 100
1986-06-01;--:--;   -999.000;      1.242; 100
1986-07-01;--:--;   -999.000;      0.981; 100
1986-08-01;--:--;   -999.000;      1.149; 100
1986-09-01;--:--;   -999.000;      0.689; 100
1986-10-01;--:--;   -999.000;      0.439; 100
1986-11-01;--:--;   -999.000;      0.142; 100
1986-12-01;--:--;   -999.000;      0.081; 100
1987-01-01;--:--;   -999.000;      0.068; 100
1987-02-01;--:--;   -999.000;      0.065; 100
1987-03-01;--:--;   -999.000;      0.049; 100
1987-04-01;--:--;   -999.000;      0.110; 100
1987-05-01;--:--;   -999.000;      0.335; 100
1987-06-01;--:--;   -999.000;      1.147; 100
1987-07-01;--:--;   -999.000;      2.031; 100
1987-08-01;--:--;   -999.000;      1.161; 100
1987-09-01;--:--;   -999.000;      0.729; 100
1987-10-01;--:--;   -999.000;      0.328; 100
1987-11-01;--:--;   -999.000;      0.189; 100
1987-12-01;--:--;   -999.000;      0.117; 100
1988-01-01;--:--;   -999.000;      0.090; 100
1988-02-01;--:--;   -999.000;      0.073; 100
